Team ID , Team  , Region , Country , Track , Section , Size , Status
2134,HFUT-China,Asia,China,,Undergrad,20,Accepted
2015,HokkaidoU_Japan,Asia,Japan,,Undergrad,6,Accepted
2054,Hong_Kong_HKU,Asia,Hong Kong,,Undergrad,23,Accepted
1899,Hong_Kong_HKUST,Asia,Hong Kong,,Undergrad,41,Accepted
1889,Hong_Kong_UCCKE,Asia,Hong Kong,,High_school,13,Accepted
1961,HSiTAIWAN,Asia,Taiwan,,High_school,12,Accepted
2036,HUST-China,Asia,China,,Undergrad,6,Accepted
2012,HZAU-China,Asia,China,,Undergrad,19,Accepted
2168,IISc_Bangalore,Asia,India,,Undergrad,8,Accepted
1956,IIT-Madras,Asia,India,,Undergrad,5,Accepted
